Actual,Expected
4.273,3.162
9.714,4.472
8.419,5.477
10.098,6.325
11.49,7.071
12.049,7.746
10.901,8.367
13.568,8.944
11.747,9.487
13.218,10.0
16.865,10.488
13.471,10.954
14.481,11.402
13.66,11.832
18.325,12.247
16.323,12.649
15.292,13.038
13.751,13.416
16.827,13.784
14.766,14.142
16.118,14.491
20.946,14.832
15.004,15.166
19.838,15.492
15.956,15.811
16.621,16.125
20.273,16.432
17.573,16.733
17.354,17.029
18.615,17.321
19.048,17.607
18.598,17.889
19.42,18.166
21.038,18.439
20.55,18.708
17.712,18.974
18.03,19.235
19.514,19.494
18.89,19.748
17.963,20.0
20.968,20.248
17.993,20.494
20.838,20.736
16.771,20.976
18.92,21.213
21.317,21.448
18.437,21.679
19.26,21.909
21.874,22.136
17.641,22.361
21.843,22.583
21.184,22.804
21.708,23.022
20.238,23.238
19.416,23.452
19.178,23.664
21.145,23.875
17.491,24.083
20.694,24.29
20.682,24.495
20.545,24.698
18.638,24.9
18.051,25.1
24.493,25.298
20.332,25.495
20.142,25.69
18.194,25.884
18.429,26.077
22.389,26.268
22.345,26.458
20.284,26.646
19.8,26.833
22.189,27.019
22.327,27.203
20.374,27.386
20.138,27.568
23.0,27.749
18.022,27.928
20.531,28.107
24.434,28.284
